family_id	n_members	graph_score	core_cols	n_scored
FAM352	3	0.658	346	3
FAM353	3	0.226	934	3
FAM354	3	0.594	834	3
FAM355	3	0.139	92	3
FAM356	3	0.887	1282	3
FAM357	3	0.908	1546	3
FAM358	3	0.502	899	3
FAM359	3	0.162	175	3
FAM360	3	0.332	529	3
FAM361	3	0.028	213	3
FAM362	3	0.122	209	3
FAM363	3	0.802	959	3
FAM364	3	0.455	1089	3
FAM365	3	0.198	208	3
FAM366	3	0.134	341	3
FAM367	3	0.786	1358	3
FAM368	3	0.59	729	3
FAM369	3	0.055	77	3
FAM370	3	0.091	126	3
FAM371	3	0.669	1320	3
FAM372	3	0.949	1616	3
FAM373	3	0.274	947	3
FAM374	3	0.021	78	3
FAM375	3	0.137	202	3
FAM376	3	0.391	1097	3
FAM377	3	0.94	520	3
FAM378	3	0.778	747	3
FAM379	3	0.161	93	3
FAM380	3	0.389	965	3
FAM381	3	0.24	522	3
FAM382	3	0.432	552	3
FAM383	3	0.375	262	3
FAM384	3	0.167	363	3
FAM385	3	0.252	238	3
FAM386	3	0.676	563	3
FAM387	3	0.197	213	3
FAM388	3	0.876	494	3
FAM389	3	0.09	152	3
FAM390	3	1.012	252	3
FAM391	3	0.701	696	3
FAM392	3	1.005	992	3
FAM393	3	0.095	73	3
FAM394	3	0.03	53	3
FAM395	3	0.247	373	3
FAM396	3	0.047	67	3
FAM397	3	0.122	396	3
FAM398	3	0.998	640	3
FAM399	3	0.479	1919	3
FAM400	3	0.864	1130	3
FAM401	3	0.481	444	3
FAM402	3	0.405	2062	3
FAM403	3	0.746	1640	3
FAM404	3	0.457	1292	3
FAM405	3	0.096	54	3
FAM406	3	0.4	907	3
FAM407	3	0.604	326	3
FAM408	3	0.489	840	3
FAM409	3	0.523	445	3
FAM410	3	0.512	889	3
FAM411	3	0.062	141	3
FAM412	3	0.825	974	3
FAM413	3	0.314	369	3
FAM414	3	0.246	182	3
FAM415	3	0.867	396	3
FAM416	3	0.542	300	3
FAM417	3	0.643	1614	3
FAM418	3	0.04	95	3
FAM419	3	0.378	403	3
FAM420	3	0.396	451	3
FAM421	3	0.975	667	3
FAM422	3	0.526	211	3
FAM423	3	0.259	807	3
FAM424	3	1.002	1279	3
FAM425	3	0.519	894	3
FAM426	3	0.037	48	3
FAM427	3	0.643	268	3
FAM428	3	0.093	270	3
FAM429	3	0.085	51	3
FAM430	3	0.439	913	3
FAM431	3	0.909	390	3
FAM432	3	0.414	597	3
FAM433	3	1.0	461	3
FAM434	3	0.801	1644	3
FAM435	3	0.261	554	3
FAM436	3	0.19	866	3
FAM437	3	0.261	617	3
FAM438	3	0.302	238	3
FAM439	3	0.668	391	3
FAM440	3	0.988	818	3
FAM441	3	0.573	386	3
FAM442	3	0.594	269	3
