family_id	n_members	graph_score	core_cols	n_scored
FAM908	2	0.043	19	2
FAM909	2	0.217	434	2
FAM910	2	0.31	1180	2
FAM911	2	0.786	1452	2
FAM912	2	0.81	1349	2
FAM913	2	0.273	1035	2
FAM914	2	0.152	366	2
FAM915	2	0.208	392	2
FAM916	2	0.281	387	2
FAM917	2	0.5	307	2
FAM918	2	0.128	465	2
FAM919	2	0.221	967	2
FAM920	2	0.286	815	2
FAM921	2	0.459	954	2
FAM922	2	0.661	706	2
FAM923	2	0.435	394	2
FAM924	2	0.426	719	2
FAM925	2	0.297	525	2
FAM926	2	0.079	256	2
FAM927	2	0.142	208	2
FAM928	2	0.12	159	2
FAM929	2	0.462	1270	2
FAM930	2	0.22	1191	2
FAM931	2	0.529	534	2
FAM932	2	0.204	821	2
FAM933	2	0.477	410	2
FAM934	2	0.155	181	2
FAM935	2	0.21	151	2
FAM936	2	0.253	1196	2
FAM937	2	0.302	1180	2
FAM938	2	0.431	625	2
FAM939	2	0.999	771	2
FAM940	2	0.522	714	2
FAM941	2	0.351	654	2
FAM942	2	0.246	271	2
FAM943	2	0.006	49	2
FAM944	2	0.212	634	2
FAM945	2	0.265	606	2
FAM946	2	0.797	977	2
FAM947	2	0.01	28	2
FAM948	2	0.204	440	2
FAM949	2	0.501	2516	2
FAM950	2	0.188	838	2
FAM951	2	0.263	829	2
FAM952	2	0.951	990	2
FAM953	2	0.19	449	2
FAM954	2	0.203	378	2
FAM955	2	0.134	162	2
FAM956	2	0.355	308	2
FAM957	2	0.158	286	2
FAM958	2	0.745	3316	2
FAM959	2	0.111	1175	2
FAM960	2	0.331	1261	2
FAM961	2	0.315	540	2
FAM962	2	0.525	1078	2
FAM963	2	0.338	910	2
FAM964	2	0.328	393	2
FAM965	2	0.212	256	2
FAM966	2	0.28	641	2
FAM967	2	0.305	848	2
FAM968	2	0.195	843	2
FAM969	2	0.235	612	2
FAM970	2	0.342	521	2
FAM971	2	0.262	563	2
FAM972	2	0.246	428	2
FAM973	2	0.319	866	2
FAM974	2	0.557	1546	2
FAM975	2	0.015	42	2
FAM976	2	0.28	1006	2
FAM977	2	0.715	1314	2
FAM978	2	0.368	782	2
FAM979	2	0.53	1371	2
FAM980	2	0.349	1077	2
FAM981	2	0.439	1180	2
FAM982	2	0.031	113	2
FAM983	2	0.826	669	2
FAM984	2	0.794	923	2
FAM985	2	0.312	1539	2
FAM986	2	0.178	468	2
FAM987	2	0.379	1335	2
FAM988	2	0.303	230	2
FAM989	2	0.264	487	2
FAM990	2	0.076	211	2
FAM991	2	0.497	1139	2
FAM992	2	0.355	1051	2
FAM993	2	0.027	26	2
FAM994	2	0.164	469	2
FAM995	2	0.271	874	2
FAM996	2	0.494	819	2
FAM997	2	0.24	293	2
FAM998	2	0.121	388	2
FAM999	2	0.149	287	2
FAM1000	2	0.027	20	2
FAM1001	2	0.441	183	2
FAM1002	2	0.566	679	2
FAM1003	2	0.52	936	2
FAM1004	2	0.744	686	2
FAM1005	2	0.791	779	2
FAM1006	2	0.357	603	2
FAM1007	2	0.708	484	2
FAM1008	2	0.86	479	2
FAM1009	2	0.362	161	2
FAM1010	2	0.27	1135	2
FAM1011	2	0.364	430	2
FAM1012	2	0.577	215	2
FAM1013	2	0.012	27	2
FAM1014	2	0.687	543	2
FAM1015	2	0.246	400	2
FAM1016	2	0.015	23	2
FAM1017	2	0.346	329	2
FAM1018	2	0.57	558	2
FAM1019	2	0.453	484	2
FAM1020	2	0.151	424	2
FAM1021	2	0.208	429	2
FAM1022	2	0.292	2938	2
FAM1023	2	1.0	945	2
FAM1024	2	0.014	24	2
FAM1025	2	0.6	360	2
FAM1026	2	0.221	394	2
FAM1027	2	0.214	283	2
FAM1028	2	0.15	722	2
FAM1029	2	0.17	808	2
FAM1030	2	0.293	1336	2
FAM1031	2	0.4	821	2
FAM1032	2	0.106	246	2
FAM1033	2	0.323	729	2
FAM1034	2	0.489	668	2
FAM1035	2	0.337	342	2
FAM1036	2	0.178	234	2
FAM1037	2	0.325	234	2
FAM1038	2	0.295	151	2
FAM1039	2	0.335	200	2
FAM1040	2	0.272	521	2
FAM1041	2	0.202	305	2
FAM1042	2	0.176	391	2
FAM1043	2	0.232	408	2
FAM1044	2	0.28	180	2
FAM1045	2	0.15	421	2
FAM1046	2	0.112	368	2
FAM1047	2	0.03	29	2
FAM1048	2	0.436	1138	2
FAM1049	2	0.476	545	2
FAM1050	2	0.442	1638	2
FAM1051	2	0.445	829	2
FAM1052	2	0.332	240	2
FAM1053	2	0.267	190	2
FAM1054	2	0.606	380	2
FAM1055	2	0.403	494	2
FAM1056	2	0.273	253	2
FAM1057	2	0.007	28	2
FAM1058	2	0.443	597	2
FAM1059	2	0.548	434	2
FAM1060	2	0.543	483	2
FAM1061	2	0.17	398	2
FAM1062	2	0.617	333	2
FAM1063	2	0.06	28	2
FAM1064	2	0.534	333	2
FAM1065	2	0.245	487	2
FAM1066	2	0.394	266	2
FAM1067	2	0.217	336	2
FAM1068	2	0.176	783	2
FAM1069	2	0.226	522	2
FAM1070	2	0.451	282	2
FAM1071	2	0.144	95	2
FAM1072	2	0.435	1059	2
FAM1073	2	0.054	196	2
FAM1074	2	0.841	872	2
FAM1075	2	0.23	829	2
FAM1076	2	0.232	653	2
FAM1077	2	0.192	428	2
FAM1078	2	0.133	282	2
FAM1079	2	0.009	72	2
FAM1080	2	0.221	407	2
FAM1081	2	0.315	1204	2
FAM1082	2	0.443	627	2
FAM1083	2	0.528	796	2
FAM1084	2	0.315	445	2
FAM1085	2	0.102	470	2
FAM1086	2	0.385	321	2
FAM1087	2	0.042	26	2
FAM1088	2	0.349	327	2
FAM1089	2	0.371	821	2
FAM1090	2	0.059	321	2
FAM1091	2	0.363	1426	2
FAM1092	2	0.554	571	2
FAM1093	2	0.158	307	2
FAM1094	2	0.24	513	2
FAM1095	2	0.074	177	2
FAM1096	2	0.247	258	2
FAM1097	2	0.264	192	2
FAM1098	2	0.186	508	2
FAM1099	2	0.162	729	2
FAM1100	2	0.961	951	2
FAM1101	2	0.326	780	2
FAM1102	2	0.086	418	2
FAM1103	2	0.302	451	2
FAM1104	2	0.332	2007	2
FAM1105	2	0.326	976	2
FAM1106	2	0.592	443	2
FAM1107	2	0.501	940	2
FAM1108	2	0.126	336	2
FAM1109	2	0.256	348	2
FAM1110	2	0.237	211	2
FAM1111	2	0.838	948	2
FAM1112	2	0.271	554	2
FAM1113	2	0.026	22	2
FAM1114	2	0.454	236	2
FAM1115	2	0.284	625	2
FAM1116	2	0.456	755	2
FAM1117	2	0.53	467	2
FAM1118	2	0.306	427	2
FAM1119	2	0.347	224	2
FAM1120	2	0.244	457	2
FAM1121	2	0.659	752	2
FAM1122	2	0.161	736	2
FAM1123	2	0.383	531	2
FAM1124	2	0.23	500	2
FAM1125	2	0.107	450	2
FAM1126	2	0.188	486	2
FAM1127	2	0.675	625	2
FAM1128	2	0.031	21	2
FAM1129	2	0.422	316	2
FAM1130	2	0.667	545	2
FAM1131	2	0.295	434	2
FAM1132	2	0.568	336	2
FAM1133	2	0.16	836	2
FAM1134	2	0.025	34	2
FAM1135	2	0.094	168	2
FAM1136	2	0.18	859	2
FAM1137	2	0.178	398	2
FAM1138	2	0.442	766	2
FAM1139	2	0.276	198	2
FAM1140	2	0.295	572	2
FAM1141	2	0.538	336	2
FAM1142	2	0.428	298	2
FAM1143	2	0.465	320	2
FAM1144	2	0.248	359	2
FAM1145	2	0.281	308	2
FAM1146	2	0.349	283	2
FAM1147	2	0.196	392	2
FAM1148	2	0.085	471	2
FAM1149	2	0.797	745	2
FAM1150	2	0.413	590	2
FAM1151	2	0.451	550	2
FAM1152	2	0.619	1006	2
FAM1153	2	0.443	663	2
FAM1154	2	0.161	245	2
FAM1155	2	0.288	243	2
FAM1156	2	0.024	137	2
FAM1157	2	0.092	649	2
FAM1158	2	0.557	663	2
FAM1159	2	0.711	651	2
FAM1160	2	0.479	548	2
FAM1161	2	0.292	1089	2
FAM1162	2	0.188	556	2
FAM1163	2	0.604	1427	2
FAM1164	2	0.27	397	2
FAM1165	2	0.517	835	2
FAM1166	2	0.2	484	2
FAM1167	2	0.187	313	2
FAM1168	2	0.192	258	2
FAM1169	2	0.514	329	2
FAM1170	2	0.143	498	2
FAM1171	2	0.705	397	2
FAM1172	2	0.341	257	2
FAM1173	2	0.019	25	2
FAM1174	2	0.011	23	2
FAM1175	2	0.31	230	2
FAM1176	2	0.186	1141	2
FAM1177	2	0.13	537	2
FAM1178	2	0.563	1108	2
FAM1179	2	0.417	453	2
FAM1180	2	0.013	23	2
FAM1181	2	0.264	363	2
FAM1182	2	0.141	338	2
FAM1183	2	0.434	331	2
FAM1184	2	0.471	381	2
FAM1185	2	0.311	207	2
FAM1186	2	0.773	1286	2
FAM1187	2	0.255	569	2
FAM1188	2	0.154	407	2
FAM1189	2	0.537	987	2
FAM1190	2	0.349	416	2
FAM1191	2	0.329	133	2
FAM1192	2	0.29	891	2
FAM1193	2	0.325	953	2
FAM1194	2	0.516	273	2
FAM1195	2	0.147	119	2
FAM1196	2	0.325	582	2
FAM1197	2	0.296	856	2
FAM1198	2	0.008	43	2
FAM1199	2	0.837	806	2
FAM1200	2	0.228	243	2
FAM1201	2	0.13	455	2
FAM1202	2	0.09	377	2
FAM1203	2	0.309	816	2
FAM1204	2	0.325	591	2
FAM1205	2	0.437	362	2
FAM1206	2	0.313	134	2
FAM1207	2	0.654	614	2
FAM1208	2	0.38	1527	2
FAM1209	2	0.347	460	2
FAM1210	2	0.145	355	2
FAM1211	2	0.548	642	2
FAM1212	2	0.391	3669	2
FAM1213	2	0.567	658	2
FAM1214	2	0.036	241	2
FAM1215	2	0.225	971	2
FAM1216	2	0.083	330	2
FAM1217	2	0.259	247	2
FAM1218	2	0.272	138	2
FAM1219	2	0.201	568	2
FAM1220	2	0.099	322	2
FAM1221	2	0.151	563	2
FAM1222	2	0.273	1078	2
FAM1223	2	0.07	266	2
FAM1224	2	0.672	383	2
FAM1225	2	0.166	696	2
FAM1226	2	0.34	665	2
FAM1227	2	0.338	457	2
FAM1228	2	0.162	223	2
FAM1229	2	0.63	218	2
FAM1230	2	0.577	445	2
FAM1231	2	0.007	34	2
FAM1232	2	0.19	1000	2
FAM1233	2	0.024	15	2
FAM1234	2	0.48	392	2
FAM1235	2	0.153	579	2
FAM1236	2	0.141	1531	2
FAM1237	2	0.014	18	2
FAM1238	2	0.176	458	2
FAM1239	2	0.342	423	2
FAM1240	2	0.199	589	2
FAM1241	2	0.39	361	2
FAM1242	2	0.295	1510	2
FAM1243	2	0.716	830	2
FAM1244	2	0.013	25	2
FAM1245	2	0.084	235	2
FAM1246	2	0.574	465	2
FAM1247	2	0.361	438	2
FAM1248	2	0.219	352	2
FAM1249	2	0.405	281	2
FAM1250	2	1.0	945	2
FAM1251	2	0.554	500	2
FAM1252	2	0.273	548	2
FAM1253	2	0.399	521	2
FAM1254	2	0.201	360	2
FAM1255	2	0.162	320	2
FAM1256	2	0.644	616	2
FAM1257	2	0.036	503	2
FAM1258	2	0.921	870	2
FAM1259	2	0.299	740	2
FAM1260	2	0.027	20	2
FAM1261	2	0.213	510	2
FAM1262	2	0.908	843	2
FAM1263	2	0.478	54	2
FAM1264	2	0.071	493	2
FAM1265	2	0.14	791	2
FAM1266	2	0.111	795	2
FAM1267	2	0.019	28	2
FAM1268	2	0.639	248	2
FAM1269	2	0.194	918	2
FAM1270	2	1.0	110	2
FAM1271	2	0.356	1648	2
FAM1272	2	0.073	357	2
FAM1273	2	0.553	626	2
FAM1274	2	0.141	262	2
FAM1275	2	0.243	357	2
FAM1276	2	0.26	821	2
FAM1277	2	0.411	275	2
FAM1278	2	0.411	772	2
FAM1279	2	0.498	863	2
FAM1280	2	0.358	658	2
FAM1281	2	0.015	22	2
FAM1282	2	0.248	452	2
FAM1283	2	0.233	273	2
FAM1284	2	0.343	354	2
FAM1285	2	0.118	503	2
FAM1286	2	0.008	38	2
FAM1287	2	0.33	331	2
FAM1288	2	0.265	910	2
FAM1289	2	0.208	229	2
FAM1290	2	0.196	1142	2
FAM1291	2	0.599	704	2
FAM1292	2	0.085	645	2
FAM1293	2	0.182	199	2
FAM1294	2	0.444	332	2
FAM1295	2	0.366	344	2
FAM1296	2	0.718	1269	2
FAM1297	2	0.322	324	2
FAM1298	2	0.267	329	2
FAM1299	2	0.166	131	2
FAM1300	2	0.028	24	2
FAM1301	2	0.119	458	2
FAM1302	2	0.197	596	2
FAM1303	2	0.135	646	2
FAM1304	2	0.014	23	2
FAM1305	2	0.451	465	2
FAM1306	2	0.17	610	2
FAM1307	2	0.341	253	2
FAM1308	2	0.35	869	2
FAM1309	2	0.471	850	2
FAM1310	2	0.253	140	2
FAM1311	2	0.011	45	2
FAM1312	2	0.099	239	2
FAM1313	2	0.225	128	2
FAM1314	2	0.154	167	2
FAM1315	2	0.009	37	2
FAM1316	2	0.555	534	2
FAM1317	2	0.534	581	2
FAM1318	2	0.043	77	2
FAM1319	2	0.703	653	2
FAM1320	2	0.188	370	2
FAM1321	2	0.228	603	2
FAM1322	2	0.241	1039	2
FAM1323	2	0.017	31	2
FAM1324	2	0.436	200	2
FAM1325	2	0.141	611	2
FAM1326	2	0.346	161	2
FAM1327	2	0.008	27	2
FAM1328	2	0.141	269	2
FAM1329	2	0.102	412	2
FAM1330	2	0.089	207	2
FAM1331	2	0.095	330	2
FAM1332	2	0.119	259	2
FAM1334	2	0.161	260	2
FAM1335	2	0.261	136	2
FAM1336	2	0.135	327	2
